Case,Activity,Variant,Timestamp,MorKeyb,Coor_X,Coor_Y,Click,features.experiment.GUI_category.name.TextInput,NameApp,Screenshot
1,A,1,1648056463624,1,506,192,1,NaN,Firefox,1_img.png
1,B,1,1648056463830,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,2_img.png
1,C,1,1648056465509,0,959,146,NaN,Quam,CRM,3_img.png
1,D,1,1648056467017,0,891,622,0,NaN,CRM,4_img.png
1,E,1,1648056470344,1,624,414,1,NaN,CRM,5_img.png
1,F,1,1648056470774,0,668,432,NaN,NaN,CRM,6_img.png
2,A,2,1648056471190,1,517,204,1,NaN,Firefox,7_img.png
2,B,2,1648056471732,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,8_img.png
2,C,2,1648056472444,0,952,149,NaN,Facere,CRM,9_img.png
2,D,2,1648056473293,0,909,631,0,NaN,CRM,10_img.png
2,G,2,1648056475763,0,NaN,NaN,NaN,key.ENTER,Firefox,11_img.png
3,A,2,1648056475979,1,517,196,1,NaN,Firefox,12_img.png
3,B,2,1648056476195,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,13_img.png
3,C,2,1648056476693,0,942,140,NaN,Quibusdam,CRM,14_img.png
3,D,2,1648056477159,0,827,638,0,NaN,CRM,15_img.png
3,G,2,1648056479302,0,NaN,NaN,NaN,key.ENTER,Firefox,16_img.png
4,A,1,1648056479530,1,507,200,1,NaN,Firefox,17_img.png
4,B,1,1648056479929,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,18_img.png
4,C,1,1648056480392,0,954,141,NaN,Rem,CRM,19_img.png
4,D,1,1648056480852,0,831,609,0,NaN,CRM,20_img.png
4,E,1,1648056482842,1,667,448,1,NaN,CRM,21_img.png
4,F,1,1648056483051,0,668,442,NaN,NaN,CRM,22_img.png
5,A,1,1648056483246,1,518,192,1,NaN,Firefox,23_img.png
5,B,1,1648056483458,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,24_img.png
5,C,1,1648056484145,0,956,154,NaN,Modi,CRM,25_img.png
5,D,1,1648056485011,0,888,625,0,NaN,CRM,26_img.png
5,E,1,1648056488218,1,599,432,1,NaN,CRM,27_img.png
5,F,1,1648056488573,0,668,447,NaN,NaN,CRM,28_img.png
6,A,1,1648056488979,1,503,206,1,NaN,Firefox,29_img.png
6,B,1,1648056489501,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,30_img.png
6,C,1,1648056490237,0,945,149,NaN,Nostrum,CRM,31_img.png
6,D,1,1648056491133,0,895,609,0,NaN,CRM,32_img.png
6,E,1,1648056494169,1,668,446,1,NaN,CRM,33_img.png
6,F,1,1648056494457,0,664,425,NaN,NaN,CRM,34_img.png
7,A,1,1648056494947,1,521,192,1,NaN,Firefox,35_img.png
7,B,1,1648056495155,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,36_img.png
7,C,1,1648056495598,0,952,140,NaN,Delectus,CRM,37_img.png
7,D,1,1648056496017,0,929,636,0,NaN,CRM,38_img.png
7,E,1,1648056497937,1,632,414,1,NaN,CRM,39_img.png
7,F,1,1648056498147,0,651,448,NaN,NaN,CRM,40_img.png
8,A,1,1648056498369,1,501,203,1,NaN,Firefox,41_img.png
8,B,1,1648056498604,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,42_img.png
8,C,1,1648056499064,0,949,150,NaN,Maxime,CRM,43_img.png
8,D,1,1648056499560,0,920,610,0,NaN,CRM,44_img.png
8,E,1,1648056501747,1,653,427,1,NaN,CRM,45_img.png
8,F,1,1648056501964,0,599,444,NaN,NaN,CRM,46_img.png
9,A,2,1648056502219,1,500,212,1,NaN,Firefox,47_img.png
9,B,2,1648056502464,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,48_img.png
9,C,2,1648056502945,0,956,157,NaN,Labore,CRM,49_img.png
9,D,2,1648056503433,0,989,636,0,NaN,CRM,50_img.png
9,G,2,1648056506590,0,NaN,NaN,NaN,key.ENTER,Firefox,51_img.png
