Case,Activity,Variant,Timestamp,MorKeyb,Coor_X,Coor_Y,Click,features.experiment.GUI_category.name.TextInput,NameApp,Screenshot
1,A,1,1648054955624,1,717,221,1,NaN,Firefox,1_img.png
1,B,1,1648054955951,1,595,289,1,NaN,Firefox,2_img.png
1,C,1,1648054956693,0,529,365,NaN,key.ALT+key.TAB,Firefox,3_img.png
1,D,1,1648054957716,0,NaN,NaN,0,Ab,Firefox,4_img.png
2,A,1,1648054958581,1,790,193,1,NaN,Firefox,5_img.png
2,B,1,1648054958809,1,642,287,1,NaN,Firefox,6_img.png
2,C,1,1648054959292,0,244,520,NaN,key.ALT+key.TAB,Firefox,7_img.png
2,D,1,1648054959882,0,NaN,NaN,0,Sapiente,Firefox,8_img.png
3,A,2,1648054960533,1,883,197,1,NaN,Firefox,9_img.png
3,B,2,1648054960761,1,1080,58,1,NaN,Firefox,10_img.png
3,E,2,1648054960997,0,NaN,NaN,NaN,mollitia nam magnam dicta,Firefox,11_img.png
4,A,2,1648054961730,1,1095,254,1,NaN,Firefox,12_img.png
4,B,2,1648054961973,1,1033,44,1,NaN,Firefox,13_img.png
4,E,2,1648054962210,0,NaN,NaN,NaN,voluptas nam ad soluta,Firefox,14_img.png
5,A,2,1648054962994,1,998,263,1,NaN,Firefox,15_img.png
5,B,2,1648054963246,1,1067,54,1,NaN,Firefox,16_img.png
5,E,2,1648054963708,0,NaN,NaN,NaN,deserunt eligendi commodi perferendis,Firefox,17_img.png
6,A,1,1648054965422,1,603,225,1,NaN,Firefox,18_img.png
6,B,1,1648054966022,1,650,275,1,NaN,Firefox,19_img.png
6,C,1,1648054967190,0,352,599,NaN,key.ALT+key.TAB,Firefox,20_img.png
6,D,1,1648054968549,0,NaN,NaN,0,Quo,Firefox,21_img.png
7,A,2,1648054970100,1,258,194,1,NaN,Firefox,22_img.png
7,B,2,1648054970628,1,1100,136,1,NaN,Firefox,23_img.png
7,E,2,1648054971314,0,NaN,NaN,NaN,dolorem architecto rem aperiam,Firefox,24_img.png
8,A,1,1648054972698,1,789,214,1,NaN,Firefox,25_img.png
8,B,1,1648054973196,1,638,296,1,NaN,Firefox,26_img.png
8,C,1,1648054974000,0,625,584,NaN,key.ALT+key.TAB,Firefox,27_img.png
8,D,1,1648054974906,0,NaN,NaN,0,Ipsa,Firefox,28_img.png
9,A,1,1648054975641,1,378,251,1,NaN,Firefox,29_img.png
9,B,1,1648054975885,1,617,266,1,NaN,Firefox,30_img.png
9,C,1,1648054976436,0,324,546,NaN,key.ALT+key.TAB,Firefox,31_img.png
9,D,1,1648054977130,0,NaN,NaN,0,Perspiciatis,Firefox,32_img.png
10,A,2,1648054977815,1,1077,211,1,NaN,Firefox,33_img.png
10,B,2,1648054978070,1,1097,149,1,NaN,Firefox,34_img.png
10,E,2,1648054978318,0,NaN,NaN,NaN,rerum odit quam minus,Firefox,35_img.png
11,A,1,1648054979046,1,1072,242,1,NaN,Firefox,36_img.png
11,B,1,1648054979293,1,651,244,1,NaN,Firefox,37_img.png
11,C,1,1648054979841,0,150,650,NaN,key.ALT+key.TAB,Firefox,38_img.png
11,D,1,1648054980493,0,NaN,NaN,0,Ullam,Firefox,39_img.png
12,A,2,1648054981233,1,312,230,1,NaN,Firefox,40_img.png
12,B,2,1648054981472,1,1089,60,1,NaN,Firefox,41_img.png
12,E,2,1648054981717,0,NaN,NaN,NaN,amet cum enim sed,Firefox,42_img.png
13,A,2,1648054982411,1,900,250,1,NaN,Firefox,43_img.png
13,B,2,1648054982648,1,1043,79,1,NaN,Firefox,44_img.png
13,E,2,1648054982930,0,NaN,NaN,NaN,doloribus officiis ratione obcaecati,Firefox,45_img.png
14,A,2,1648054983992,1,184,204,1,NaN,Firefox,46_img.png
14,B,2,1648054984542,1,1021,134,1,NaN,Firefox,47_img.png
14,E,2,1648054984963,0,NaN,NaN,NaN,qui dolores fuga quis,Firefox,48_img.png
