Case,Activity,Variant,Timestamp,MorKeyb,Coor_X,Coor_Y,Click,features.experiment.GUI_category.name.TextInput,NameApp,Screenshot
1,A,2,1648055574491,1,515,200,1,NaN,Firefox,1_img.png
1,B,2,1648055574688,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,2_img.png
1,C,2,1648055574916,0,966,143,NaN,Ratione,CRM,3_img.png
1,D,2,1648055575137,0,943,142,NaN,Natus,CRM,4_img.png
1,E,2,1648055575606,0,NaN,NaN,NaN,key.ENTER,Firefox,5_img.png
2,A,2,1648055576038,1,524,212,1,NaN,Firefox,6_img.png
2,B,2,1648055576256,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,7_img.png
2,C,2,1648055576472,0,947,151,NaN,Optio,CRM,8_img.png
2,D,2,1648055576687,0,942,149,NaN,Fuga,CRM,9_img.png
2,E,2,1648055577153,0,NaN,NaN,NaN,key.ENTER,Firefox,10_img.png
3,A,2,1648055577542,1,524,204,1,NaN,Firefox,11_img.png
3,B,2,1648055577762,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,12_img.png
3,C,2,1648055577976,0,943,150,NaN,Amet,CRM,13_img.png
3,D,2,1648055578198,0,952,158,NaN,Culpa,CRM,14_img.png
3,E,2,1648055578600,0,NaN,NaN,NaN,key.ENTER,Firefox,15_img.png
4,A,2,1648055579006,1,524,200,1,NaN,Firefox,16_img.png
4,B,2,1648055579219,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,17_img.png
4,C,2,1648055579429,0,956,141,NaN,A,CRM,18_img.png
4,D,2,1648055579634,0,963,148,NaN,Porro,CRM,19_img.png
4,E,2,1648055580123,0,NaN,NaN,NaN,key.ENTER,Firefox,20_img.png
5,A,2,1648055580528,1,501,212,1,NaN,Firefox,21_img.png
5,B,2,1648055580743,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,22_img.png
5,C,2,1648055580901,0,955,141,NaN,Reprehenderit,CRM,23_img.png
5,D,2,1648055581109,0,958,140,NaN,Sed,CRM,24_img.png
5,E,2,1648055581571,0,NaN,NaN,NaN,key.ENTER,Firefox,25_img.png
6,A,2,1648055582003,1,510,195,1,NaN,Firefox,26_img.png
6,B,2,1648055582201,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,27_img.png
6,C,2,1648055582388,0,954,154,NaN,Laboriosam,CRM,28_img.png
6,D,2,1648055582599,0,942,143,NaN,Ipsum,CRM,29_img.png
6,E,2,1648055583047,0,NaN,NaN,NaN,key.ENTER,Firefox,30_img.png
7,A,1,1648055583483,1,505,193,1,NaN,Firefox,31_img.png
7,B,1,1648055583686,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,32_img.png
7,C,1,1648055583998,0,948,156,NaN,Eius,CRM,33_img.png
7,D,1,1648055585377,0,916,622,0,NaN,CRM,34_img.png
7,E,1,1648055588224,1,623,417,1,NaN,CRM,35_img.png
7,F,1,1648055588428,0,598,424,NaN,NaN,CRM,36_img.png
8,A,1,1648055588625,1,497,209,1,NaN,Firefox,37_img.png
8,B,1,1648055588847,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,38_img.png
8,C,1,1648055589060,0,951,150,NaN,Pariatur,CRM,39_img.png
8,D,1,1648055589459,0,859,620,0,NaN,CRM,40_img.png
8,E,1,1648055591426,1,645,433,1,NaN,CRM,41_img.png
8,F,1,1648055591629,0,636,422,NaN,NaN,CRM,42_img.png
9,A,2,1648055591837,1,499,200,1,NaN,Firefox,43_img.png
9,B,2,1648055592061,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,44_img.png
9,C,2,1648055592273,0,946,157,NaN,Voluptatibus,CRM,45_img.png
9,D,2,1648055592480,0,945,157,NaN,Est,CRM,46_img.png
9,E,2,1648055592939,0,NaN,NaN,NaN,key.ENTER,Firefox,47_img.png
10,A,1,1648055593389,1,509,199,1,NaN,Firefox,48_img.png
10,B,1,1648055593603,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,49_img.png
10,C,1,1648055593774,0,964,158,NaN,Quos,CRM,50_img.png
10,D,1,1648055594176,0,991,637,0,NaN,CRM,51_img.png
10,E,1,1648055596105,1,597,441,1,NaN,CRM,52_img.png
10,F,1,1648055596317,0,618,423,NaN,NaN,CRM,53_img.png
11,A,2,1648055596539,1,496,204,1,NaN,Firefox,54_img.png
11,B,2,1648055596748,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,55_img.png
11,C,2,1648055596950,0,945,150,NaN,Beatae,CRM,56_img.png
11,D,2,1648055597166,0,949,159,NaN,Libero,CRM,57_img.png
11,E,2,1648055597618,0,NaN,NaN,NaN,key.ENTER,Firefox,58_img.png
12,A,1,1648055598032,1,505,206,1,NaN,Firefox,59_img.png
12,B,1,1648055598247,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,60_img.png
12,C,1,1648055598429,0,955,149,NaN,Explicabo,CRM,61_img.png
12,D,1,1648055598784,0,965,634,0,NaN,CRM,62_img.png
12,E,1,1648055600762,1,623,422,1,NaN,CRM,63_img.png
12,F,1,1648055600974,0,606,428,NaN,NaN,CRM,64_img.png
13,A,1,1648055601192,1,504,203,1,NaN,Firefox,65_img.png
13,B,1,1648055601429,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,66_img.png
13,C,1,1648055601628,0,963,140,NaN,Velit,CRM,67_img.png
13,D,1,1648055601994,0,865,625,0,NaN,CRM,68_img.png
13,E,1,1648055604247,1,646,431,1,NaN,CRM,69_img.png
13,F,1,1648055605066,0,665,418,NaN,NaN,CRM,70_img.png
14,A,2,1648055606757,1,514,210,1,NaN,Firefox,71_img.png
14,B,2,1648055607860,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,72_img.png
14,C,2,1648055608329,0,953,147,NaN,Quisquam,CRM,73_img.png
14,D,2,1648055608817,0,940,148,NaN,Rerum,CRM,74_img.png
14,E,2,1648055610121,0,NaN,NaN,NaN,key.ENTER,Firefox,75_img.png
15,A,1,1648055611021,1,501,200,1,NaN,Firefox,76_img.png
15,B,1,1648055611239,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,77_img.png
15,C,1,1648055611429,0,965,144,NaN,Facere,CRM,78_img.png
15,D,1,1648055611823,0,995,629,0,NaN,CRM,79_img.png
15,E,1,1648055614020,1,646,431,1,NaN,CRM,80_img.png
15,F,1,1648055614246,0,596,441,NaN,NaN,CRM,81_img.png
16,A,1,1648055614474,1,523,207,1,NaN,Firefox,82_img.png
