Case,Activity,Variant,Timestamp,MorKeyb,Coor_X,Coor_Y,Click,features.experiment.GUI_category.name.TextInput,NameApp,Screenshot
1,A,2,1648055623016,1,505,211,1,NaN,Firefox,1_img.png
1,B,2,1648055623229,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,2_img.png
1,C,2,1648055623441,0,962,155,NaN,Accusamus,CRM,3_img.png
1,D,2,1648055623705,0,959,152,NaN,Ea,CRM,4_img.png
1,E,2,1648055624681,0,NaN,NaN,NaN,key.ENTER,Firefox,5_img.png
2,A,1,1648055625738,1,516,192,1,NaN,Firefox,6_img.png
2,B,1,1648055626118,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,7_img.png
2,C,1,1648055626586,0,948,148,NaN,Minus,CRM,8_img.png
2,D,1,1648055627544,0,948,634,0,NaN,CRM,9_img.png
2,E,1,1648055630506,1,626,442,1,NaN,CRM,10_img.png
2,F,1,1648055630934,0,597,432,NaN,NaN,CRM,11_img.png
3,A,2,1648055631562,1,503,209,1,NaN,Firefox,12_img.png
3,B,2,1648055632034,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,13_img.png
3,C,2,1648055632614,0,965,153,NaN,Dolor,CRM,14_img.png
3,D,2,1648055633206,0,960,147,NaN,Hic,CRM,15_img.png
3,E,2,1648055634131,0,NaN,NaN,NaN,key.ENTER,Firefox,16_img.png
4,A,1,1648055635014,1,504,192,1,NaN,Firefox,17_img.png
4,B,1,1648055635634,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,18_img.png
4,C,1,1648055635927,0,965,151,NaN,Voluptate,CRM,19_img.png
4,D,1,1648055636351,0,919,623,0,NaN,CRM,20_img.png
4,E,1,1648055638450,1,631,423,1,NaN,CRM,21_img.png
4,F,1,1648055638676,0,632,419,NaN,NaN,CRM,22_img.png
5,A,2,1648055638917,1,524,215,1,NaN,Firefox,23_img.png
5,B,2,1648055639152,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,24_img.png
5,C,2,1648055639369,0,957,146,NaN,Sequi,CRM,25_img.png
5,D,2,1648055639581,0,941,148,NaN,Libero,CRM,26_img.png
5,E,2,1648055640063,0,NaN,NaN,NaN,key.ENTER,Firefox,27_img.png
6,A,2,1648055640513,1,501,194,1,NaN,Firefox,28_img.png
6,B,2,1648055640720,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,29_img.png
6,C,2,1648055640902,0,944,154,NaN,Tempore,CRM,30_img.png
6,D,2,1648055641138,0,959,159,NaN,Similique,CRM,31_img.png
6,E,2,1648055641636,0,NaN,NaN,NaN,key.ENTER,Firefox,32_img.png
7,A,1,1648055642062,1,513,202,1,NaN,Firefox,33_img.png
7,B,1,1648055642299,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,34_img.png
7,C,1,1648055642513,0,942,150,NaN,Velit,CRM,35_img.png
7,D,1,1648055642969,0,994,620,0,NaN,CRM,36_img.png
7,E,1,1648055646028,1,652,439,1,NaN,CRM,37_img.png
7,F,1,1648055646689,0,601,431,NaN,NaN,CRM,38_img.png
8,A,2,1648055647192,1,507,213,1,NaN,Firefox,39_img.png
8,B,2,1648055647792,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,40_img.png
8,C,2,1648055648115,0,956,148,NaN,Repudiandae,CRM,41_img.png
8,D,2,1648055648721,0,966,147,NaN,Voluptates,CRM,42_img.png
8,E,2,1648055649610,0,NaN,NaN,NaN,key.ENTER,Firefox,43_img.png
9,A,1,1648055650422,1,516,195,1,NaN,Firefox,44_img.png
9,B,1,1648055650820,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,45_img.png
9,C,1,1648055651401,0,962,151,NaN,Error,CRM,46_img.png
9,D,1,1648055651969,0,908,616,0,NaN,CRM,47_img.png
9,E,1,1648055654034,1,627,427,1,NaN,CRM,48_img.png
9,F,1,1648055654234,0,652,419,NaN,NaN,CRM,49_img.png
10,A,1,1648055654440,1,513,192,1,NaN,Firefox,50_img.png
10,B,1,1648055654665,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,51_img.png
10,C,1,1648055654829,0,957,159,NaN,Odio,CRM,52_img.png
10,D,1,1648055655237,0,893,635,0,NaN,CRM,53_img.png
10,E,1,1648055657229,1,628,424,1,NaN,CRM,54_img.png
10,F,1,1648055657433,0,605,442,NaN,NaN,CRM,55_img.png
11,A,1,1648055657657,1,505,197,1,NaN,Firefox,56_img.png
11,B,1,1648055657882,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,57_img.png
11,C,1,1648055658084,0,953,144,NaN,Voluptatibus,CRM,58_img.png
11,D,1,1648055658463,0,944,639,0,NaN,CRM,59_img.png
11,E,1,1648055660309,1,650,432,1,NaN,CRM,60_img.png
11,F,1,1648055660518,0,607,415,NaN,NaN,CRM,61_img.png
12,A,1,1648055660710,1,514,194,1,NaN,Firefox,62_img.png
12,B,1,1648055660918,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,63_img.png
12,C,1,1648055661130,0,951,146,NaN,Et,CRM,64_img.png
12,D,1,1648055661559,0,966,611,0,NaN,CRM,65_img.png
12,E,1,1648055663533,1,617,447,1,NaN,CRM,66_img.png
12,F,1,1648055663768,0,627,448,NaN,NaN,CRM,67_img.png
13,A,2,1648055664257,1,522,206,1,NaN,Firefox,68_img.png
13,B,2,1648055664774,1,NaN,NaN,1,key.ALT+key.TAB,Firefox,69_img.png
